year,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,yield,s&p
2006.0,2.99,-0.63,75.42,61.2,51.56,67.31,64.72,2.0,10.53,0.94,56.69,14.87062507804103,324.04,5.9,35.7,2.51,76.37,50.03,27.72,5.9,8.9,2972.74,3.18,6.91,2.4,2.24,4.36,0.33,6557.602438239846,-0.67,-2.2,1.81,236.98,706.86,1.32,100.0,4.95,0.09,0.0,0.0,4.95,0.0,0.0,1.26,15.63,5.3124298444051306,B
2018.0,2.95,0.24,74.94,68.42,69.98,69.31,65.97,8.0,11.49,1.43,55.7,20.87,141.62,5.23,22.4,1.35,36.8,62.19,9.56,5.2,12.46,4220.54,2.79,9.94,2.5,4.91,6.61,0.27,0.47,-0.88,-1.7,2.26,112.73,1044.4410299080191,1.09,99.9,2.32,3.17,0.0,0.02,2.29,1.9,0.0,1.25,18.97,5.406720924728916,A-
2004.0,20.13,1.16,80.49,79.0,67.1,87.57,82.33,10.0,17.61,108.14,11.91,24.28,1526.7451731886686,4.11,27.23,2.64,75.4,100.03,0.66,4.21,614.17,30513.94,166.37,356.17,2.3,105.49,121.99,42.91,-24585.97,-41.29,-19.19,36.93,816.88,5598.09,2.88,100.0,18.52,204.55,0.71,0.07,15.89,0.0,0.0,10.25,5.39,5.23,AA+
1997.0,7.97,0.11,77.32,84.07,78.52,93.87,79.84,11.0,19.6,41.71,63.49,26.8,689.1319156916434,2.09,26.21,0.91,88.3,130.13,21.974545240075713,2.09,212.79,26705.48,55.78,116.53,1.3,78.79,80.52,2.67,2609.06,-5.900522713678583,-0.8322326908048581,22.02,547.2189322886406,3550.4,0.12,100.0,37.61,16.75,0.02,0.0,35.74,0.0,0.0,3.82,5.15,5.4,A-
1990.0,7.18,0.68,64.83,62.626385705333185,57.042447461215076,70.52545917811038,60.30595927974513,12.0,17.6,112.08931680874412,11.64935831967523,16.843161919264276,553.7551990093634,3.3061551831207225,25.079926639387395,42.044191811490236,51.38276596055039,53.279170958758186,13.675628545926884,3.6119088316894477,649.671134835432,8557.539531351067,160.4644976782541,375.2954479810278,29.97482481849414,153.62829364152776,151.01066632279162,16.77882751236757,1595.853327688761,2.2721865558014542,5.447482269476353,63.879472283583254,-2195.739411261842,3158.35,17.88,87.67709780523182,46.76663568377171,142.89699835403007,4.684776384432325,0.09766208661835662,40.3192120332842,31.593809347650677,-0.5421202936731788,3.48,9.543144863892849,21.227341086678337,CC
1976.0,9.82,0.18,72.12,77.5,72.32,90.56,69.16,18.0,21.31,15.15,46.49507400284165,23.323332830556183,-151.64328950886556,5.553113804051236,24.073724881375483,54.83026809101648,45.44,38.03,18.0544901211897,5.65,71.11,7243.05,19.18,37.27,9.1,34.53,34.32,0.87,4104.186575034168,9.39161962000253,2.738716498959775,9.17,-144.56837364543753,4622.23,0.26,96.98706506104736,44.17255757298972,57.42401013982453,-0.3288612897661096,1.2389575630634226,41.839438227663095,16.15820655209245,-0.44532106743179156,6.064939927518026,8.437080558972866,9.22,AAA
1977.0,9.83,0.12,72.77,77.37,71.77,90.56,69.29,18.0,21.84,18.09,50.714797313417876,23.040439957064564,29.577767301438143,0.7978994181245298,22.11937597931319,49.46112323335092,45.53,39.54,18.377885764249186,0.63,82.84,8426.95,22.06,44.15,7.1,39.35,39.9,1.27,2578.543219415471,6.671799223218841,1.8448276918904014,10.96,-424.45700312880217,4589.52,0.22,98.31997469252747,43.987972333763764,60.973372784577805,0.1918036654210482,1.141921271854926,41.43487508372368,16.244288368950947,-0.36884199246583194,6.073383365937843,8.35641726602762,8.76,AAA
1978.0,9.84,0.09,72.7,78.03,72.38,90.94,70.29,18.0,22.63,22.91,48.171647909599415,24.30782456813904,474.37261069037777,2.7793192602272256,21.033592901138036,39.79287947114608,45.59,41.05,17.42932255922733,2.84,101.25,10289.77,26.75,53.7,4.5,46.33,47.13,1.44,886.4340141690336,4.584992595819131,1.3332127215458343,13.59,-1234.9006852517778,4826.56,0.16,98.52865863378884,43.231164844864225,71.3478960428074,0.9457973750334077,1.3724039813801028,40.93553987936116,18.598498793719045,-0.4406889146330286,6.665747455897872,9.940514935331066,9.0,AAA
1979.0,9.85,0.09,73.19,78.62,73.26,91.26,70.88,18.0,22.97,26.71,49.60588819440818,24.78431589458205,877.0407165999786,2.2200069167433867,19.678619057207015,31.423545489345088,45.35,44.91,17.249844710969228,2.34,116.32,11810.62,30.19,63.01,4.5,58.07,60.08,1.13,-2497.6171691170894,1.7497805591556244,-0.05687322363638714,22.96,-1843.8617343893347,4976.78,0.14,99.8176522808526,42.584198067601164,81.13733619962295,1.6563202180541339,1.468182487658396,40.44759211943824,19.004259492219717,-0.4299387997582471,7.170424701776938,10.648938136657307,10.84,AAA
1980.0,9.86,0.11,73.21,79.08,75.02,91.47,70.42,18.0,22.87,29.01,44.458231313885335,25.77716721906245,735.0555400435551,4.44,27.39,8.76,43.47,47.24,18.66179423610265,4.44,126.83,12864.0,33.68,69.39,6.6,63.56,67.14,1.54,-943.1214925893582,4.104112165096012,-1.1560915795032543,27.97,-1023.8812615203133,4743.42,0.14,98.24396007922405,0.56,38.29,0.0,0.0,0.27,11.91,0.0,1.8409426963826263,9.92348658736637,12.35,AAA
