year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
2003,3.81,895.54,28300.46,183.29,498.6,2.8,330.15,295.3,7.01,9947.13,10.43,34.07,36.27,1528.14,34,19.9,178.18,75.91,13.23,,1.8,20.47,1.71,120.98,124.34,11.1,31.64,0.9,79.74,81.4,67.92,91.5,84.8,8341.34,2.94,100.0,344.01,157.23,0.83,0.02,334.07,71.15,0.0,17.34,7.57,AAA,Baa1,BB-,4.73
2004,3.91,1026.69,32143.68,219.54,561.79,1.9,383.24,337.42,1.45,27143.66,23.24,44.85,34.48,1751.52,34,19.42,199.36,71.89,13.34,,3.09,21.38,2.29,122.01,125.81,10.37,31.94,0.93,79.89,81.63,68.4,91.58,84.91,8455.55,4.07,100.0,347.24,149.3,0.95,0.01,337.43,85.87,0.0,17.55,7.19,AAA,Baa1,BB-,4.32
2005,5.0,1173.11,36382.51,265.5,637.07,2.2,432.37,385.98,25.55,7570.84,21.93,45.68,33.02,-1339.44,34,19.08,223.78,70.64,13.3,,3.2,22.63,2.31,124.21,132.26,10.61,32.24,0.94,80.19,81.75,68.07,91.92,85.25,8422.03,4.41,100.0,369.0,150.54,1.57,0.02,358.3,86.83,0.0,17.7,6.76,AAA,Baa1,BB-,4.04
2006,4.17,1319.26,40504.06,311.29,717.93,2.0,467.05,430.74,64.3,9504.88,17.99,35.2,35.06,2178.16,34,19.25,253.94,69.92,13.35,,2.63,23.6,1.39,132.79,145.79,11.67,32.57,1.01,80.34,81.83,67.91,91.71,85.87,8239.95,3.86,100.0,360.58,139.64,2.47,0.02,349.32,92.44,0.0,17.91,6.32,AAA,Baa1,BB-,3.97
2007,6.87,1468.82,44659.89,351.16,803.86,2.1,502.77,470.81,120.45,-42064.64,11.05,30.61,41.08,2587.71,34,19.25,282.76,66.86,13.33,,2.07,23.91,2.5,111.24,133.88,10.35,32.89,0.97,80.54,82.67,68.25,91.77,88.0,8213.39,3.66,100.0,375.43,149.36,3.01,0.03,363.91,88.19,0.0,18.28,6.04,AAA,Baa1,BB-,4.02
2008,1.01,1552.99,46710.5,373.84,845.78,2.4,534.15,506.72,70.12,3107.55,3.18,28.14,43.87,-4227.24,34,19.72,306.24,67.89,12.39,,1.0,24.07,1.84,121.89,141.27,17.17,33.25,1.08,80.7,82.71,67.37,92.09,88.69,8194.88,5.01,100.0,384.64,141.81,3.79,0.04,373.68,88.3,0.0,18.58,6.14,AAA,Baa1,BB-,2.95
2009,-2.93,1374.63,40876.31,301.86,791.41,0.3,391.99,411.82,20.95,23353.58,-40.78,-20.29,54.36,-647.65,34,21.96,301.93,79.27,12.3,,-2.93,21.96,0.79,,,,33.63,1.14,81.0,83.01,67.61,92.25,89.18,7797.12,2.02,100.0,381.46,130.48,6.64,0.1,364.96,85.13,0.0,18.71,8.34,AAA,Baa1,BB-,3.42
2010,3.09,1617.34,47562.08,379.78,921.86,1.8,471.74,502.04,29.71,17792.57,-58.16,-30.87,57.15,-16.17,34,21.48,347.33,81.22,11.73,,3.09,23.48,2.23,,,,34.0,1.11,81.25,83.07,67.54,92.09,89.59,7788.56,2.25,100.0,368.93,131.38,8.72,0.25,347.87,85.5,0.0,18.92,8.06,AAA,Baa1,BB-,3.2
2011,3.15,1793.33,52223.7,433.11,1002.52,2.9,550.16,570.64,38.34,21318.18,-49.75,-21.68,65.82,-4249.1,34,21.15,379.21,81.78,11.8,,3.15,24.15,2.66,,,,34.34,0.98,81.45,83.12,67.15,92.25,89.95,7911.55,2.97,100.0,394.43,132.41,10.19,0.57,371.97,88.32,0.0,19.06,7.51,AAA,Baa1,BB-,1.99
2012,1.76,1828.37,52669.09,454.67,1024.26,1.5,554.96,589.51,49.37,951.23,-64.58,-34.52,68.55,950.89,34,21.06,385.01,85.4,11.66,,1.76,24.87,0.99,,,,34.71,1.09,81.65,83.2,67.36,92.01,90.22,7733.41,1.8,100.0,401.11,125.64,11.31,0.87,376.47,89.06,0.0,19.25,7.29,AAA,Baa1,BB-,1.77
2013,2.33,1846.6,52635.18,459.94,1033.37,0.9,560.11,589.05,67.03,17889.3,-58.11,-28.98,71.94,1013.2,34,20.7,382.33,86.14,11.62,,2.33,24.91,0.96,,,,35.08,1.06,81.75,83.19,67.2,92.06,90.33,7743.73,1.91,100.0,419.7,123.66,18.09,1.48,387.87,96.97,0.0,19.48,7.07,AAA,Baa1,AAA ,2.67
2014,2.87,1805.75,50956.0,449.1,1007.54,1.9,573.08,589.43,64.17,23181.4,-41.87,-16.32,74.7,-1722.88,34,20.27,365.96,85.6,11.81,,2.87,24.87,1.97,,,,35.44,1.01,81.8,84.24,70.2,92.11,90.42,7897.86,1.66,100.0,414.21,123.52,22.54,2.1,378.68,98.59,0.0,19.56,6.91,AAA,Baa1,AAA ,1.85
2015,0.66,1556.51,43596.14,370.79,899.8,1.1,495.75,534.12,59.99,9415.87,-54.7,-38.58,79.75,2472.12,34,20.88,324.97,91.22,12.39,,0.66,23.82,1.27,,,,35.7,0.75,81.9,84.22,69.77,92.47,90.42,7631.34,0.33,100.0,417.34,126.53,26.96,2.87,378.37,95.64,0.0,19.68,6.91,AAA,Baa1,AAA ,1.46
2016,1.0,1527.99,42315.61,347.79,893.64,1.4,481.36,517.4,34.2,38865.55,-47.26,-36.24,82.72,1896.4,34,21.05,321.61,91.76,12.5,,1.0,22.76,1.41,,,,36.11,1.13,81.9,84.34,70.5,92.36,90.15,,0.79,100.0,426.15,124.03,30.93,3.99,381.58,95.65,0.0,19.89,7.0,AAA,Baa1,AAA ,1.73
2017,3.04,1649.27,45129.36,388.41,956.18,1.6,518.77,554.92,25.36,42278.32,-46.24,-36.24,86.68,1984.78,34,20.7,341.45,88.85,12.61,,3.04,23.55,1.83,,,,36.55,1.2,81.9,84.74,71.71,92.41,90.1,,1.27,100.0,437.1,113.0,31.51,3.54,390.64,95.13,0.0,20.17,6.34,AAA,Baa1,AAA ,1.92
2018,2.78,1725.33,46454.74,399.48,997.69,2.3,556.94,589.5,43.16,19499.41,-40.44,-32.66,83.93,5370.98,34,20.68,356.82,88.85,13.06,,2.78,23.38,2.05,,,,37.07,1.41,82.05,84.18,70.98,92.32,89.42,,2.12,100.0,429.61,112.57,33.18,3.76,382.02,95.04,0.0,20.35,5.83,AAA,Baa1,AAA ,2.06
2019,1.88,1742.02,46326.67,400.36,1005.96,1.9,555.85,583.64,45.09,-1745.26,-35.69,-27.77,85.3,-2739.41,34,20.83,362.92,87.16,13.27,,1.88,23.07,2.06,,,,37.59,1.42,82.05,84.25,71.44,92.14,89.35,,1.9,100.0,423.82,112.9,32.66,4.08,377.98,94.85,0.0,20.74,5.66,AAA,Baa1,A-,1.6
2020,-5.23,1645.42,43258.18,362.97,943.65,0.7,476.04,509.77,,-9643.1,-29.72,-33.66,90.43,2318.3,34,22.65,371.81,117.75,,,-5.23,22.26,0.71,,,,38.01,1.09,,,,,,,,100.0,430.68,103.85,36.1,4.28,383.0,92.64,0.0,20.46,9.46,AAA,Baa1,A-,0.73
1976,,,,,,,,,,,,,0.03,,35,,,,,23.97,,,,28.04,2.7,,0.27,0.41,58.63,26.66,33.9,9.93,37.84,,,,,,,,,,,,,B-,B2,B,
1977,,,,,,,,,0.0,0.0,0.01,-0.05,0.04,1.47,35,,,,,26.06,,,,37.18,2.6,,0.27,0.73,59.53,27.57,36.32,9.93,38.04,,,,,,,,,,,,,B-,B2,B,
1978,,,,,,,,,0.0,0.0,-0.01,-0.06,0.04,2.17,35,,,,,35.06,,,,35.58,2.35,,0.28,1.04,60.31,27.85,36.93,9.93,38.27,,,,,,,,,,,,,B-,B2,B,
1979,,,,,,,,,0.0,0.0,-0.0,-0.06,0.04,3.27,35,,,,,32.48,,,,35.67,2.51,,0.28,1.28,60.94,29.09,36.36,13.11,39.34,,,,,,,,,,,,,B-,B2,B,
1980,,0.14,501.14,,,,0.02,0.1,0.0,0.0,0.0,-0.07,0.04,-5.63,35,,,,,61.84,5.26,35.19,,38.1,2.97,0.14,0.28,1.46,61.42,29.6,37.02,14.05,39.15,,1.06,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1981,8.45,0.14,483.13,,,,0.03,0.1,0.0,0.0,-0.02,-0.08,0.04,-3.68,35,,,,,48.69,8.45,43.75,20.67,35.93,3.0,0.1,0.29,1.69,61.79,31.31,42.2,14.44,38.32,,0.96,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1982,2.83,0.14,477.94,,,,0.03,0.11,0.0,0.0,-0.01,-0.08,0.04,-1.86,35,,,,,51.39,2.82,46.78,21.76,37.37,2.62,0.07,0.29,1.91,62.1,32.32,45.43,14.43,37.93,,1.4,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1983,9.52,0.14,461.24,,,,0.03,0.11,0.0,0.0,-0.01,-0.08,0.05,-3.65,35,,,,,56.19,9.52,44.28,17.87,,,0.04,0.3,2.01,62.39,33.42,48.84,14.43,37.6,,0.88,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1984,3.78,0.13,431.24,,,11.3,0.03,0.1,0.0,0.0,-0.01,-0.06,0.04,-4.84,35,,,,,60.6,3.78,40.25,9.68,34.14,1.91,0.03,0.31,1.95,62.69,32.97,47.72,14.63,37.2,,0.86,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
1985,8.64,0.14,441.91,,,5.4,0.03,0.11,0.0,0.0,-0.01,-0.06,0.06,4.94,35,,,,,64.31,8.64,42.87,5.88,34.74,1.99,0.02,0.31,1.79,63.0,33.19,47.93,15.02,37.21,,0.57,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,B-,B2,B,
